shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,FS1,throughput_uph,10,84.4,0.0,0.0,84.4,84.4,84.4,0.0
1,1,FS1,fatigue_index,10,0.3583,0.0,0.0,0.3583,0.3583,0.3583,0.0
1,1,FS1,noise_db,10,80.0,0.0,0.0,80.0,80.0,80.0,0.0
1,1,FS1,energy_kwh,10,809.0,0.0,0.0,809.0,809.0,809.0,0.0
1,1,FS1,defect_rate,10,0.0077,0.0,0.0,0.0077,0.0077,0.0077,0.0
1,1,FS1,cell_balance_loss_pct,10,9.5,0.0,0.0,9.5,9.5,9.5,0.0
1,1,FS1,agv_utilization,10,0.501,0.0,0.0,0.501,0.501,0.501,0.0
1,3,FS2,throughput_uph,10,99.74,5.3387888763900975,3.818874158492262,91.7,107.8,99.6,5.352705911760675
1,3,FS2,fatigue_index,10,0.82534,0.08661104882044657,0.06195350740371686,0.7006,1.0,0.82205,10.4939841544632
1,3,FS2,noise_db,10,86.58,0.8310635755865272,0.5944657648679176,85.2,88.1,86.75,0.9598793896818286
1,3,FS2,energy_kwh,10,1014.3,58.13786297337658,41.58643236874257,943.0,1138.0,1002.0,5.73182125341384
1,3,FS2,defect_rate,10,0.01047,0.00043982319680121963,0.0003146087023589779,0.0098,0.0113,0.0105,4.200794620833044
1,3,FS2,cell_balance_loss_pct,10,6.87,5.720732276359188,4.092081025053145,1.2,19.8,6.300000000000001,83.27121217407843
1,3,FS2,agv_utilization,10,0.6011,0.04204878119517853,0.03007779622312778,0.522,0.655,0.6045,6.995305472496845
1,5,FS3,throughput_uph,10,75.8,0.0,0.0,75.8,75.8,75.8,0.0
1,5,FS3,fatigue_index,10,0.3479,0.0,0.0,0.3479,0.3479,0.3479,0.0
1,5,FS3,noise_db,10,78.8,0.0,0.0,78.8,78.8,78.8,0.0
1,5,FS3,energy_kwh,10,760.0,0.0,0.0,760.0,760.0,760.0,0.0
1,5,FS3,defect_rate,10,0.007400000000000001,0.0,0.0,0.0074,0.0074,0.0074,0.0
1,5,FS3,cell_balance_loss_pct,10,1.6,0.0,0.0,1.6,1.6,1.6,0.0
1,5,FS3,agv_utilization,10,0.4699999999999999,0.0,0.0,0.47,0.47,0.47,0.0
1,6,FS4,throughput_uph,10,81.7,0.0,0.0,81.7,81.7,81.7,0.0
1,6,FS4,fatigue_index,10,0.3882,0.0,0.0,0.3882,0.3882,0.3882,0.0
1,6,FS4,noise_db,10,80.6,0.0,0.0,80.6,80.6,80.6,0.0
1,6,FS4,energy_kwh,10,788.0,0.0,0.0,788.0,788.0,788.0,0.0
1,6,FS4,defect_rate,10,0.0078,0.0,0.0,0.0078,0.0078,0.0078,0.0
1,6,FS4,cell_balance_loss_pct,10,4.5,0.0,0.0,4.5,4.5,4.5,0.0
1,6,FS4,agv_utilization,10,0.499,0.0,0.0,0.499,0.499,0.499,0.0
