shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,FS1,throughput_uph,10,84.4,0.0,0.0,84.4,84.4,84.4,0.0
1,1,FS1,fatigue_index,10,0.3583,0.0,0.0,0.3583,0.3583,0.3583,0.0
1,1,FS1,noise_db,10,80.0,0.0,0.0,80.0,80.0,80.0,0.0
1,1,FS1,energy_kwh,10,809.0,0.0,0.0,809.0,809.0,809.0,0.0
1,1,FS1,defect_rate,10,0.0077,0.0,0.0,0.0077,0.0077,0.0077,0.0
1,1,FS1,cell_balance_loss_pct,10,9.5,0.0,0.0,9.5,9.5,9.5,0.0
1,1,FS1,agv_utilization,10,0.501,0.0,0.0,0.501,0.501,0.501,0.0
1,3,FS2,throughput_uph,10,102.49000000000001,9.59530556516513,6.863591221539932,87.5,120.9,102.0,9.362187106220246
1,3,FS2,fatigue_index,10,0.7933399999999999,0.1549341881789383,0.11082554137327008,0.4916,1.0,0.7988,19.529355406123265
1,3,FS2,noise_db,10,87.06,0.6603029607687663,0.4723194664631127,86.2,88.5,86.95,0.7584458543174434
1,3,FS2,energy_kwh,10,1028.5,104.47461148262023,74.7314425138442,946.0,1261.0,981.0,10.157959307984466
1,3,FS2,defect_rate,10,0.01064,0.000671978835645555,0.00048067130390735843,0.0099,0.0119,0.010450000000000001,6.315590560578524
1,3,FS2,cell_balance_loss_pct,10,9.059999999999999,8.216000649139865,5.876964474828822,1.6,28.0,8.1,90.68433387571595
1,3,FS2,agv_utilization,10,0.6086,0.05994849641335651,0.0428815915171067,0.53,0.703,0.606,9.850229446821642
1,5,FS3,throughput_uph,10,75.8,0.0,0.0,75.8,75.8,75.8,0.0
1,5,FS3,fatigue_index,10,0.3479,0.0,0.0,0.3479,0.3479,0.3479,0.0
1,5,FS3,noise_db,10,78.8,0.0,0.0,78.8,78.8,78.8,0.0
1,5,FS3,energy_kwh,10,760.0,0.0,0.0,760.0,760.0,760.0,0.0
1,5,FS3,defect_rate,10,0.007400000000000001,0.0,0.0,0.0074,0.0074,0.0074,0.0
1,5,FS3,cell_balance_loss_pct,10,1.6,0.0,0.0,1.6,1.6,1.6,0.0
1,5,FS3,agv_utilization,10,0.4699999999999999,0.0,0.0,0.47,0.47,0.47,0.0
1,6,FS4,throughput_uph,10,81.7,0.0,0.0,81.7,81.7,81.7,0.0
1,6,FS4,fatigue_index,10,0.3882,0.0,0.0,0.3882,0.3882,0.3882,0.0
1,6,FS4,noise_db,10,80.6,0.0,0.0,80.6,80.6,80.6,0.0
1,6,FS4,energy_kwh,10,788.0,0.0,0.0,788.0,788.0,788.0,0.0
1,6,FS4,defect_rate,10,0.0078,0.0,0.0,0.0078,0.0078,0.0078,0.0
1,6,FS4,cell_balance_loss_pct,10,4.5,0.0,0.0,4.5,4.5,4.5,0.0
1,6,FS4,agv_utilization,10,0.499,0.0,0.0,0.499,0.499,0.499,0.0
