shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,FS1,throughput_uph,10,84.4,0.0,0.0,84.4,84.4,84.4,0.0
1,1,FS1,fatigue_index,10,0.3805,0.0,0.0,0.3805,0.3805,0.3805,0.0
1,1,FS1,noise_db,10,80.5,0.0,0.0,80.5,80.5,80.5,0.0
1,1,FS1,energy_kwh,10,811.0,0.0,0.0,811.0,811.0,811.0,0.0
1,1,FS1,defect_rate,10,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
1,1,FS1,cell_balance_loss_pct,10,3.3,0.0,0.0,3.3,3.3,3.3,0.0
1,1,FS1,agv_utilization,10,0.519,0.0,0.0,0.519,0.519,0.519,0.0
1,3,FS2,throughput_uph,10,99.83000000000001,8.704921979355511,6.2266934258561335,86.8,111.4,99.6,8.719745546785044
1,3,FS2,fatigue_index,10,0.8206,0.1744297502657668,0.12477085743323237,0.4937,1.0,0.82325,21.25636732461209
1,3,FS2,noise_db,10,86.59,1.799042955450355,1.2868683912506345,81.9,88.5,86.75,2.077656721850508
1,3,FS2,energy_kwh,10,993.5,90.25427044374872,64.55953008657978,815.0,1102.0,997.5,9.084476139280193
1,3,FS2,defect_rate,10,0.01042,0.0009761602782785664,0.0006982544819763061,0.0082,0.0115,0.0106,9.36814086639699
1,3,FS2,cell_balance_loss_pct,10,6.74,5.0387829218307605,3.6042777371340295,1.1,13.9,5.0,74.75939053161365
1,3,FS2,agv_utilization,10,0.6027,0.06585176957041894,0.047104245349649736,0.506,0.693,0.607,10.926127355304287
1,5,FS3,throughput_uph,10,85.3,0.0,0.0,85.3,85.3,85.3,0.0
1,5,FS3,fatigue_index,10,0.38,0.0,0.0,0.38,0.38,0.38,0.0
1,5,FS3,noise_db,10,81.1,0.0,0.0,81.1,81.1,81.1,0.0
1,5,FS3,energy_kwh,10,820.0,0.0,0.0,820.0,820.0,820.0,0.0
1,5,FS3,defect_rate,10,0.0081,0.0,0.0,0.0081,0.0081,0.0081,0.0
1,5,FS3,cell_balance_loss_pct,10,8.7,0.0,0.0,8.7,8.7,8.7,0.0
1,5,FS3,agv_utilization,10,0.509,0.0,0.0,0.509,0.509,0.509,0.0
1,6,FS4,throughput_uph,10,85.3,0.0,0.0,85.3,85.3,85.3,0.0
1,6,FS4,fatigue_index,10,0.38,0.0,0.0,0.38,0.38,0.38,0.0
1,6,FS4,noise_db,10,81.1,0.0,0.0,81.1,81.1,81.1,0.0
1,6,FS4,energy_kwh,10,820.0,0.0,0.0,820.0,820.0,820.0,0.0
1,6,FS4,defect_rate,10,0.0081,0.0,0.0,0.0081,0.0081,0.0081,0.0
1,6,FS4,cell_balance_loss_pct,10,8.7,0.0,0.0,8.7,8.7,8.7,0.0
1,6,FS4,agv_utilization,10,0.509,0.0,0.0,0.509,0.509,0.509,0.0
