shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,FS1,throughput_uph,10,84.4,0.0,0.0,84.4,84.4,84.4,0.0
1,1,FS1,fatigue_index,10,0.3583,0.0,0.0,0.3583,0.3583,0.3583,0.0
1,1,FS1,noise_db,10,80.0,0.0,0.0,80.0,80.0,80.0,0.0
1,1,FS1,energy_kwh,10,809.0,0.0,0.0,809.0,809.0,809.0,0.0
1,1,FS1,defect_rate,10,0.0077,0.0,0.0,0.0077,0.0077,0.0077,0.0
1,1,FS1,cell_balance_loss_pct,10,9.5,0.0,0.0,9.5,9.5,9.5,0.0
1,1,FS1,agv_utilization,10,0.501,0.0,0.0,0.501,0.501,0.501,0.0
1,3,FS2,throughput_uph,10,94.11,2.7473017065234515,1.9651647097380924,87.0,97.9,94.6,2.9192452518578804
1,3,FS2,fatigue_index,10,0.56434,0.039922652995789516,0.028556961399672752,0.4867,0.6339,0.5680000000000001,7.074219973028585
1,3,FS2,noise_db,10,85.36999999999999,0.9730250653389035,0.6960118415659318,83.5,86.7,85.6,1.1397740018026281
1,3,FS2,energy_kwh,10,900.5,25.522321385189258,18.2563004193073,841.0,944.0,902.5,2.8342389100709893
1,3,FS2,defect_rate,10,0.0094,0.00029439202887759507,0.00021058073986003574,0.009,0.01,0.00935,3.1318300944425004
1,3,FS2,cell_balance_loss_pct,10,2.9099999999999997,4.219913111269788,3.0185342602660645,0.2,14.2,1.05,145.01419626356662
1,3,FS2,agv_utilization,10,0.5791999999999999,0.019060138742645286,0.013633854603889519,0.542,0.604,0.5854999999999999,3.290769810539587
1,5,FS3,throughput_uph,10,75.8,0.0,0.0,75.8,75.8,75.8,0.0
1,5,FS3,fatigue_index,10,0.3479,0.0,0.0,0.3479,0.3479,0.3479,0.0
1,5,FS3,noise_db,10,78.8,0.0,0.0,78.8,78.8,78.8,0.0
1,5,FS3,energy_kwh,10,760.0,0.0,0.0,760.0,760.0,760.0,0.0
1,5,FS3,defect_rate,10,0.007400000000000001,0.0,0.0,0.0074,0.0074,0.0074,0.0
1,5,FS3,cell_balance_loss_pct,10,1.6,0.0,0.0,1.6,1.6,1.6,0.0
1,5,FS3,agv_utilization,10,0.4699999999999999,0.0,0.0,0.47,0.47,0.47,0.0
1,6,FS4,throughput_uph,10,81.7,0.0,0.0,81.7,81.7,81.7,0.0
1,6,FS4,fatigue_index,10,0.3882,0.0,0.0,0.3882,0.3882,0.3882,0.0
1,6,FS4,noise_db,10,80.6,0.0,0.0,80.6,80.6,80.6,0.0
1,6,FS4,energy_kwh,10,788.0,0.0,0.0,788.0,788.0,788.0,0.0
1,6,FS4,defect_rate,10,0.0078,0.0,0.0,0.0078,0.0078,0.0078,0.0
1,6,FS4,cell_balance_loss_pct,10,4.5,0.0,0.0,4.5,4.5,4.5,0.0
1,6,FS4,agv_utilization,10,0.499,0.0,0.0,0.499,0.499,0.499,0.0
