shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,FS1,throughput_uph,10,84.4,0.0,0.0,84.4,84.4,84.4,0.0
1,1,FS1,fatigue_index,10,0.3583,0.0,0.0,0.3583,0.3583,0.3583,0.0
1,1,FS1,noise_db,10,80.0,0.0,0.0,80.0,80.0,80.0,0.0
1,1,FS1,energy_kwh,10,809.0,0.0,0.0,809.0,809.0,809.0,0.0
1,1,FS1,defect_rate,10,0.0077,0.0,0.0,0.0077,0.0077,0.0077,0.0
1,1,FS1,cell_balance_loss_pct,10,9.5,0.0,0.0,9.5,9.5,9.5,0.0
1,1,FS1,agv_utilization,10,0.501,0.0,0.0,0.501,0.501,0.501,0.0
1,3,FS2,throughput_uph,10,95.78,3.126872772169237,2.236674628460742,90.2,101.7,95.95,3.264640605731089
1,3,FS2,fatigue_index,10,0.59145,0.022797916571476437,0.01630751402200838,0.545,0.6185,0.5972,3.8545805345297888
1,3,FS2,noise_db,10,85.75,0.5930148958219084,0.424187828679703,84.7,86.9,85.7,0.6915625607252576
1,3,FS2,energy_kwh,10,916.4,16.022206811519787,11.460799999999997,886.0,944.0,920.5,1.7483857280139443
1,3,FS2,defect_rate,10,0.009559999999999999,0.00018378731669453622,0.00013146439213718665,0.0093,0.0098,0.0095,1.92246147170017
1,3,FS2,cell_balance_loss_pct,10,1.92,1.8599880525303263,1.3304628584068026,0.0,5.9,1.65,96.8743777359545
1,3,FS2,agv_utilization,10,0.5926,0.015636140472920054,0.01118464396572371,0.562,0.616,0.5954999999999999,2.6385657227337247
1,5,FS3,throughput_uph,10,75.8,0.0,0.0,75.8,75.8,75.8,0.0
1,5,FS3,fatigue_index,10,0.3479,0.0,0.0,0.3479,0.3479,0.3479,0.0
1,5,FS3,noise_db,10,78.8,0.0,0.0,78.8,78.8,78.8,0.0
1,5,FS3,energy_kwh,10,760.0,0.0,0.0,760.0,760.0,760.0,0.0
1,5,FS3,defect_rate,10,0.007400000000000001,0.0,0.0,0.0074,0.0074,0.0074,0.0
1,5,FS3,cell_balance_loss_pct,10,1.6,0.0,0.0,1.6,1.6,1.6,0.0
1,5,FS3,agv_utilization,10,0.4699999999999999,0.0,0.0,0.47,0.47,0.47,0.0
1,6,FS4,throughput_uph,10,81.7,0.0,0.0,81.7,81.7,81.7,0.0
1,6,FS4,fatigue_index,10,0.3882,0.0,0.0,0.3882,0.3882,0.3882,0.0
1,6,FS4,noise_db,10,80.6,0.0,0.0,80.6,80.6,80.6,0.0
1,6,FS4,energy_kwh,10,788.0,0.0,0.0,788.0,788.0,788.0,0.0
1,6,FS4,defect_rate,10,0.0078,0.0,0.0,0.0078,0.0078,0.0078,0.0
1,6,FS4,cell_balance_loss_pct,10,4.5,0.0,0.0,4.5,4.5,4.5,0.0
1,6,FS4,agv_utilization,10,0.499,0.0,0.0,0.499,0.499,0.499,0.0
