shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,FS1,throughput_uph,5,84.4,0.0,0.0,84.4,84.4,84.4,0.0
1,1,FS1,fatigue_index,5,0.3583,0.0,0.0,0.3583,0.3583,0.3583,0.0
1,1,FS1,noise_db,5,80.0,0.0,0.0,80.0,80.0,80.0,0.0
1,1,FS1,energy_kwh,5,809.0,0.0,0.0,809.0,809.0,809.0,0.0
1,1,FS1,defect_rate,5,0.0077,0.0,0.0,0.0077,0.0077,0.0077,0.0
1,1,FS1,cell_balance_loss_pct,5,9.5,0.0,0.0,9.5,9.5,9.5,0.0
1,1,FS1,agv_utilization,5,0.501,0.0,0.0,0.501,0.501,0.501,0.0
1,3,FS2,throughput_uph,5,95.2,5.122011323689162,6.358797486317677,86.8,100.3,96.7,5.380263995471808
1,3,FS2,fatigue_index,5,0.71098,0.13019390154688507,0.1616311643165092,0.4937,0.7949,0.7871,18.311893660424357
1,3,FS2,noise_db,5,85.7,2.134244597041303,2.6495898429756988,81.9,86.9,86.5,2.490367091063364
1,3,FS2,energy_kwh,5,940.6,73.88030860790987,91.71981297495105,815.0,994.0,962.0,7.854593728248975
1,3,FS2,defect_rate,5,0.00984,0.0009449867723941958,0.0011731679477380889,0.0082,0.0105,0.0102,9.603524109697112
1,3,FS2,cell_balance_loss_pct,5,9.92,3.310891118717135,4.110355247712781,7.1,14.4,8.1,33.37591853545499
1,3,FS2,agv_utilization,5,0.564,0.03712815643147393,0.04609330453764405,0.506,0.603,0.566,6.583006459481194
1,5,FS3,throughput_uph,5,75.8,0.0,0.0,75.8,75.8,75.8,0.0
1,5,FS3,fatigue_index,5,0.3479,0.0,0.0,0.3479,0.3479,0.3479,0.0
1,5,FS3,noise_db,5,78.8,0.0,0.0,78.8,78.8,78.8,0.0
1,5,FS3,energy_kwh,5,760.0,0.0,0.0,760.0,760.0,760.0,0.0
1,5,FS3,defect_rate,5,0.007400000000000001,0.0,0.0,0.0074,0.0074,0.0074,0.0
1,5,FS3,cell_balance_loss_pct,5,1.6,0.0,0.0,1.6,1.6,1.6,0.0
1,5,FS3,agv_utilization,5,0.4699999999999999,0.0,0.0,0.47,0.47,0.47,0.0
1,6,FS4,throughput_uph,5,81.7,0.0,0.0,81.7,81.7,81.7,0.0
1,6,FS4,fatigue_index,5,0.3882,0.0,0.0,0.3882,0.3882,0.3882,0.0
1,6,FS4,noise_db,5,80.6,0.0,0.0,80.6,80.6,80.6,0.0
1,6,FS4,energy_kwh,5,788.0,0.0,0.0,788.0,788.0,788.0,0.0
1,6,FS4,defect_rate,5,0.0078,0.0,0.0,0.0078,0.0078,0.0078,0.0
1,6,FS4,cell_balance_loss_pct,5,4.5,0.0,0.0,4.5,4.5,4.5,0.0
1,6,FS4,agv_utilization,5,0.499,0.0,0.0,0.499,0.499,0.499,0.0
