shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,FS1,throughput_uph,5,84.4,0.0,0.0,84.4,84.4,84.4,0.0
1,1,FS1,fatigue_index,5,0.3583,0.0,0.0,0.3583,0.3583,0.3583,0.0
1,1,FS1,noise_db,5,80.0,0.0,0.0,80.0,80.0,80.0,0.0
1,1,FS1,energy_kwh,5,809.0,0.0,0.0,809.0,809.0,809.0,0.0
1,1,FS1,defect_rate,5,0.0077,0.0,0.0,0.0077,0.0077,0.0077,0.0
1,1,FS1,cell_balance_loss_pct,5,9.5,0.0,0.0,9.5,9.5,9.5,0.0
1,1,FS1,agv_utilization,5,0.501,0.0,0.0,0.501,0.501,0.501,0.0
1,3,FS2,throughput_uph,5,97.38,3.837577360783754,4.764217752202349,93.3,101.6,99.2,3.9408270289420355
1,3,FS2,fatigue_index,5,0.66666,0.1583013202724475,0.19652553924933416,0.4937,0.7949,0.7639,23.74543549522208
1,3,FS2,noise_db,5,85.03999999999999,2.0622802913280247,2.5602486804214943,82.8,86.8,86.1,2.4250708976105657
1,3,FS2,energy_kwh,5,948.8,75.90586275117357,94.23446743012876,866.0,1012.0,993.0,8.000196327062982
1,3,FS2,defect_rate,5,0.00968,0.0009884331034521255,0.0012271050445662752,0.0086,0.0105,0.0103,10.211085779464106
1,3,FS2,cell_balance_loss_pct,5,2.44,1.985698869416005,2.4651755299775306,0.2,5.0,1.5,81.38110120557397
1,3,FS2,agv_utilization,5,0.6012,0.020861447696648494,0.025898755936144907,0.579,0.621,0.608,3.4699680134145865
1,5,FS3,throughput_uph,5,79.1,0.0,0.0,79.1,79.1,79.1,0.0
1,5,FS3,fatigue_index,5,0.3479,0.0,0.0,0.3479,0.3479,0.3479,0.0
1,5,FS3,noise_db,5,79.2,0.0,0.0,79.2,79.2,79.2,0.0
1,5,FS3,energy_kwh,5,806.0,0.0,0.0,806.0,806.0,806.0,0.0
1,5,FS3,defect_rate,5,0.0076,0.0,0.0,0.0076,0.0076,0.0076,0.0
1,5,FS3,cell_balance_loss_pct,5,6.6,0.0,0.0,6.6,6.6,6.6,0.0
1,5,FS3,agv_utilization,5,0.4779999999999999,0.0,0.0,0.478,0.478,0.478,0.0
1,6,FS4,throughput_uph,5,81.7,0.0,0.0,81.7,81.7,81.7,0.0
1,6,FS4,fatigue_index,5,0.3882,0.0,0.0,0.3882,0.3882,0.3882,0.0
1,6,FS4,noise_db,5,80.6,0.0,0.0,80.6,80.6,80.6,0.0
1,6,FS4,energy_kwh,5,788.0,0.0,0.0,788.0,788.0,788.0,0.0
1,6,FS4,defect_rate,5,0.0078,0.0,0.0,0.0078,0.0078,0.0078,0.0
1,6,FS4,cell_balance_loss_pct,5,4.5,0.0,0.0,4.5,4.5,4.5,0.0
1,6,FS4,agv_utilization,5,0.499,0.0,0.0,0.499,0.499,0.499,0.0
