shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,FS1,throughput_uph,5,84.4,0.0,0.0,84.4,84.4,84.4,0.0
1,1,FS1,fatigue_index,5,0.3583,0.0,0.0,0.3583,0.3583,0.3583,0.0
1,1,FS1,noise_db,5,80.0,0.0,0.0,80.0,80.0,80.0,0.0
1,1,FS1,energy_kwh,5,809.0,0.0,0.0,809.0,809.0,809.0,0.0
1,1,FS1,defect_rate,5,0.0077,0.0,0.0,0.0077,0.0077,0.0077,0.0
1,1,FS1,cell_balance_loss_pct,5,9.5,0.0,0.0,9.5,9.5,9.5,0.0
1,1,FS1,agv_utilization,5,0.501,0.0,0.0,0.501,0.501,0.501,0.0
1,3,FS2,throughput_uph,5,99.74000000000001,3.713892836364564,4.6106677513783225,93.3,102.4,101.4,3.723574129100224
1,3,FS2,fatigue_index,5,0.75956,0.16226610243670733,0.2014476773053926,0.4937,0.8893,0.8472,21.36317110389006
1,3,FS2,noise_db,5,85.97999999999999,2.1323695739716397,2.6472620675709435,82.8,88.1,86.8,2.480076266540637
1,3,FS2,energy_kwh,5,982.0,74.13838412050805,92.04020467600013,866.0,1054.0,978.0,7.54973361715968
1,3,FS2,defect_rate,5,0.01012,0.000887130204648675,0.0011013410472691916,0.0086,0.0108,0.0103,8.766108741587699
1,3,FS2,cell_balance_loss_pct,5,7.459999999999999,8.467762396288645,10.51243014462403,1.2,20.3,2.3,113.5088793068183
1,3,FS2,agv_utilization,5,0.5982000000000001,0.03374462920228936,0.04189277410532751,0.554,0.633,0.595,5.641027950900928
1,5,FS3,throughput_uph,5,79.1,0.0,0.0,79.1,79.1,79.1,0.0
1,5,FS3,fatigue_index,5,0.3479,0.0,0.0,0.3479,0.3479,0.3479,0.0
1,5,FS3,noise_db,5,79.2,0.0,0.0,79.2,79.2,79.2,0.0
1,5,FS3,energy_kwh,5,806.0,0.0,0.0,806.0,806.0,806.0,0.0
1,5,FS3,defect_rate,5,0.0076,0.0,0.0,0.0076,0.0076,0.0076,0.0
1,5,FS3,cell_balance_loss_pct,5,6.6,0.0,0.0,6.6,6.6,6.6,0.0
1,5,FS3,agv_utilization,5,0.4779999999999999,0.0,0.0,0.478,0.478,0.478,0.0
1,6,FS4,throughput_uph,5,81.7,0.0,0.0,81.7,81.7,81.7,0.0
1,6,FS4,fatigue_index,5,0.3882,0.0,0.0,0.3882,0.3882,0.3882,0.0
1,6,FS4,noise_db,5,80.6,0.0,0.0,80.6,80.6,80.6,0.0
1,6,FS4,energy_kwh,5,788.0,0.0,0.0,788.0,788.0,788.0,0.0
1,6,FS4,defect_rate,5,0.0078,0.0,0.0,0.0078,0.0078,0.0078,0.0
1,6,FS4,cell_balance_loss_pct,5,4.5,0.0,0.0,4.5,4.5,4.5,0.0
1,6,FS4,agv_utilization,5,0.499,0.0,0.0,0.499,0.499,0.499,0.0
