shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,FS1,throughput_uph,1,84.4,0.0,0.0,84.4,84.4,84.4,0.0
1,1,FS1,fatigue_index,1,0.3583,0.0,0.0,0.3583,0.3583,0.3583,0.0
1,1,FS1,noise_db,1,80.0,0.0,0.0,80.0,80.0,80.0,0.0
1,1,FS1,energy_kwh,1,809.0,0.0,0.0,809.0,809.0,809.0,0.0
1,1,FS1,defect_rate,1,0.0077,0.0,0.0,0.0077,0.0077,0.0077,0.0
1,1,FS1,cell_balance_loss_pct,1,9.5,0.0,0.0,9.5,9.5,9.5,0.0
1,1,FS1,agv_utilization,1,0.501,0.0,0.0,0.501,0.501,0.501,0.0
1,3,FS2,throughput_uph,1,98.9,0.0,0.0,98.9,98.9,98.9,0.0
1,3,FS2,fatigue_index,1,0.8261,0.0,0.0,0.8261,0.8261,0.8261,0.0
1,3,FS2,noise_db,1,87.2,0.0,0.0,87.2,87.2,87.2,0.0
1,3,FS2,energy_kwh,1,999.0,0.0,0.0,999.0,999.0,999.0,0.0
1,3,FS2,defect_rate,1,0.0106,0.0,0.0,0.0106,0.0106,0.0106,0.0
1,3,FS2,cell_balance_loss_pct,1,12.0,0.0,0.0,12.0,12.0,12.0,0.0
1,3,FS2,agv_utilization,1,0.579,0.0,0.0,0.579,0.579,0.579,0.0
1,5,FS3,throughput_uph,1,75.8,0.0,0.0,75.8,75.8,75.8,0.0
1,5,FS3,fatigue_index,1,0.3479,0.0,0.0,0.3479,0.3479,0.3479,0.0
1,5,FS3,noise_db,1,78.8,0.0,0.0,78.8,78.8,78.8,0.0
1,5,FS3,energy_kwh,1,760.0,0.0,0.0,760.0,760.0,760.0,0.0
1,5,FS3,defect_rate,1,0.0074,0.0,0.0,0.0074,0.0074,0.0074,0.0
1,5,FS3,cell_balance_loss_pct,1,1.6,0.0,0.0,1.6,1.6,1.6,0.0
1,5,FS3,agv_utilization,1,0.47,0.0,0.0,0.47,0.47,0.47,0.0
1,6,FS4,throughput_uph,1,81.7,0.0,0.0,81.7,81.7,81.7,0.0
1,6,FS4,fatigue_index,1,0.3882,0.0,0.0,0.3882,0.3882,0.3882,0.0
1,6,FS4,noise_db,1,80.6,0.0,0.0,80.6,80.6,80.6,0.0
1,6,FS4,energy_kwh,1,788.0,0.0,0.0,788.0,788.0,788.0,0.0
1,6,FS4,defect_rate,1,0.0078,0.0,0.0,0.0078,0.0078,0.0078,0.0
1,6,FS4,cell_balance_loss_pct,1,4.5,0.0,0.0,4.5,4.5,4.5,0.0
1,6,FS4,agv_utilization,1,0.499,0.0,0.0,0.499,0.499,0.499,0.0
