shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,S1 (shift 1),throughput_uph,3,40.7,0.0,0.0,40.7,40.7,40.7,0.0
1,1,S1 (shift 1),vr_score,3,0.48100000000000004,0.0,0.0,0.481,0.481,0.481,0.0
1,1,S1 (shift 1),fatigue_index,3,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
1,1,S1 (shift 1),noise_db,3,77.8,0.0,0.0,77.8,77.8,77.8,0.0
1,1,S1 (shift 1),energy_kwh,3,401.0,0.0,0.0,401.0,401.0,401.0,0.0
1,1,S1 (shift 1),defect_rate,3,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
1,1,S1 (shift 1),deadline_gap_pct,3,21.7,0.0,0.0,21.7,21.7,21.7,0.0
1,3,S2 (shift 1),throughput_uph,3,48.20000000000001,0.0,0.0,48.2,48.2,48.2,0.0
1,3,S2 (shift 1),vr_score,3,0.4749999999999999,0.0,0.0,0.475,0.475,0.475,0.0
1,3,S2 (shift 1),fatigue_index,3,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
1,3,S2 (shift 1),noise_db,3,84.9,0.0,0.0,84.9,84.9,84.9,0.0
1,3,S2 (shift 1),energy_kwh,3,462.0,0.0,0.0,462.0,462.0,462.0,0.0
1,3,S2 (shift 1),defect_rate,3,0.01,0.0,0.0,0.01,0.01,0.01,0.0
1,3,S2 (shift 1),deadline_gap_pct,3,22.8,0.0,0.0,22.8,22.8,22.8,0.0
1,5,S3 (shift 1),throughput_uph,3,30.533333333333335,8.460693430998038,21.019223959535502,21.2,37.7,32.7,27.709694643006674
1,5,S3 (shift 1),vr_score,3,0.39699999999999996,0.04517742799230608,0.1122360105150452,0.346,0.432,0.413,11.379704783956193
1,5,S3 (shift 1),fatigue_index,3,0.30083333333333334,0.028015233951072645,0.06959931611975637,0.2827,0.3331,0.2867,9.312543141630796
1,5,S3 (shift 1),noise_db,3,78.46666666666667,0.8386497083606097,2.08348951387917,77.5,79.0,78.9,1.068797419321083
1,5,S3 (shift 1),energy_kwh,3,373.3333333333333,13.316656236958785,33.083077896578956,362.0,388.0,370.0,3.566961492042532
1,5,S3 (shift 1),defect_rate,3,0.0078000000000000005,0.0002645751311064594,0.0006572941071798337,0.0075,0.008,0.0079,3.391988860339223
1,5,S3 (shift 1),deadline_gap_pct,3,51.06666666666666,13.537109489596858,33.63075833525679,39.6,66.0,47.6,26.508700044902465
1,6,S4 (shift 1),throughput_uph,3,25.100000000000005,0.0,0.0,25.1,25.1,25.1,0.0
1,6,S4 (shift 1),vr_score,3,0.35799999999999993,0.0,0.0,0.358,0.358,0.358,0.0
1,6,S4 (shift 1),fatigue_index,3,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
1,6,S4 (shift 1),noise_db,3,76.1,0.0,0.0,76.1,76.1,76.1,0.0
1,6,S4 (shift 1),energy_kwh,3,409.0,0.0,0.0,409.0,409.0,409.0,0.0
1,6,S4 (shift 1),defect_rate,3,0.0073,0.0,0.0,0.0073,0.0073,0.0073,0.0
1,6,S4 (shift 1),deadline_gap_pct,3,51.79999999999999,0.0,0.0,51.8,51.8,51.8,0.0
2,1,S1 (shift 2),throughput_uph,3,40.7,0.0,0.0,40.7,40.7,40.7,0.0
2,1,S1 (shift 2),vr_score,3,0.48100000000000004,0.0,0.0,0.481,0.481,0.481,0.0
2,1,S1 (shift 2),fatigue_index,3,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
2,1,S1 (shift 2),noise_db,3,77.8,0.0,0.0,77.8,77.8,77.8,0.0
2,1,S1 (shift 2),energy_kwh,3,401.0,0.0,0.0,401.0,401.0,401.0,0.0
2,1,S1 (shift 2),defect_rate,3,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
2,1,S1 (shift 2),deadline_gap_pct,3,21.7,0.0,0.0,21.7,21.7,21.7,0.0
2,3,S2 (shift 2),throughput_uph,3,48.1,0.0,0.0,48.1,48.1,48.1,0.0
2,3,S2 (shift 2),vr_score,3,0.48299999999999993,0.0,0.0,0.483,0.483,0.483,0.0
2,3,S2 (shift 2),fatigue_index,3,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
2,3,S2 (shift 2),noise_db,3,84.9,0.0,0.0,84.9,84.9,84.9,0.0
2,3,S2 (shift 2),energy_kwh,3,462.0,0.0,0.0,462.0,462.0,462.0,0.0
2,3,S2 (shift 2),defect_rate,3,0.01,0.0,0.0,0.01,0.01,0.01,0.0
2,3,S2 (shift 2),deadline_gap_pct,3,19.6,0.0,0.0,19.6,19.6,19.6,0.0
2,5,S3 (shift 2),throughput_uph,3,28.166666666666668,7.3758615315997735,18.324134622252824,21.7,36.2,26.6,26.186490644732924
2,5,S3 (shift 2),vr_score,3,0.39166666666666666,0.03500476158086687,0.08696366666858318,0.357,0.427,0.391,8.937385935540478
2,5,S3 (shift 2),fatigue_index,3,0.2586333333333333,0.04982582998137948,0.12378421318414472,0.2201,0.3149,0.2409,19.265045746119146
2,5,S3 (shift 2),noise_db,3,78.63333333333334,0.1154700538379268,0.28686666666667077,78.5,78.7,78.7,0.14684618970486663
2,5,S3 (shift 2),energy_kwh,3,350.6666666666667,25.383721817994566,63.06174998188504,330.0,379.0,343.0,7.238703940492746
2,5,S3 (shift 2),defect_rate,3,0.007633333333333333,0.0002309401076758509,0.0005737333333333349,0.0075,0.0079,0.0075,3.025416257762239
2,5,S3 (shift 2),deadline_gap_pct,3,52.9,12.406046912695437,30.82081635945637,39.4,63.8,55.5,23.451884523053756
2,6,S4 (shift 2),throughput_uph,3,25.100000000000005,0.0,0.0,25.1,25.1,25.1,0.0
2,6,S4 (shift 2),vr_score,3,0.35799999999999993,0.0,0.0,0.358,0.358,0.358,0.0
2,6,S4 (shift 2),fatigue_index,3,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
2,6,S4 (shift 2),noise_db,3,76.1,0.0,0.0,76.1,76.1,76.1,0.0
2,6,S4 (shift 2),energy_kwh,3,409.0,0.0,0.0,409.0,409.0,409.0,0.0
2,6,S4 (shift 2),defect_rate,3,0.0073,0.0,0.0,0.0073,0.0073,0.0073,0.0
2,6,S4 (shift 2),deadline_gap_pct,3,51.79999999999999,0.0,0.0,51.8,51.8,51.8,0.0
3,1,S1 (shift 3),throughput_uph,3,40.7,0.0,0.0,40.7,40.7,40.7,0.0
3,1,S1 (shift 3),vr_score,3,0.48100000000000004,0.0,0.0,0.481,0.481,0.481,0.0
3,1,S1 (shift 3),fatigue_index,3,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
3,1,S1 (shift 3),noise_db,3,77.8,0.0,0.0,77.8,77.8,77.8,0.0
3,1,S1 (shift 3),energy_kwh,3,401.0,0.0,0.0,401.0,401.0,401.0,0.0
3,1,S1 (shift 3),defect_rate,3,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
3,1,S1 (shift 3),deadline_gap_pct,3,21.7,0.0,0.0,21.7,21.7,21.7,0.0
3,3,S2 (shift 3),throughput_uph,3,48.20000000000001,0.0,0.0,48.2,48.2,48.2,0.0
3,3,S2 (shift 3),vr_score,3,0.467,0.0,0.0,0.467,0.467,0.467,0.0
3,3,S2 (shift 3),fatigue_index,3,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
3,3,S2 (shift 3),noise_db,3,84.9,0.0,0.0,84.9,84.9,84.9,0.0
