shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,S1 (shift 1),throughput_uph,3,40.7,0.0,0.0,40.7,40.7,40.7,0.0
1,1,S1 (shift 1),vr_score,3,0.48100000000000004,0.0,0.0,0.481,0.481,0.481,0.0
1,1,S1 (shift 1),fatigue_index,3,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
1,1,S1 (shift 1),noise_db,3,77.8,0.0,0.0,77.8,77.8,77.8,0.0
1,1,S1 (shift 1),energy_kwh,3,401.0,0.0,0.0,401.0,401.0,401.0,0.0
1,1,S1 (shift 1),defect_rate,3,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
1,1,S1 (shift 1),deadline_gap_pct,3,21.7,0.0,0.0,21.7,21.7,21.7,0.0
1,3,S2 (shift 1),throughput_uph,3,48.20000000000001,0.0,0.0,48.2,48.2,48.2,0.0
1,3,S2 (shift 1),vr_score,3,0.4749999999999999,0.0,0.0,0.475,0.475,0.475,0.0
1,3,S2 (shift 1),fatigue_index,3,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
1,3,S2 (shift 1),noise_db,3,84.9,0.0,0.0,84.9,84.9,84.9,0.0
1,3,S2 (shift 1),energy_kwh,3,462.0,0.0,0.0,462.0,462.0,462.0,0.0
1,3,S2 (shift 1),defect_rate,3,0.01,0.0,0.0,0.01,0.01,0.01,0.0
1,3,S2 (shift 1),deadline_gap_pct,3,22.8,0.0,0.0,22.8,22.8,22.8,0.0
1,5,S3 (shift 1),throughput_uph,3,30.133333333333336,1.8502252115170552,4.5965851869742504,28.3,32.0,30.1,6.14012791432651
1,5,S3 (shift 1),vr_score,3,0.39233333333333337,0.014843629385474892,0.03687659563252073,0.376,0.405,0.396,3.783422952967262
1,5,S3 (shift 1),fatigue_index,3,0.3127666666666667,0.023896931462707383,0.059368059894479026,0.2953,0.34,0.303,7.6404981762892605
1,5,S3 (shift 1),noise_db,3,78.53333333333335,0.9609023536933078,2.3872064317477473,77.5,79.4,78.7,1.2235598731239061
1,5,S3 (shift 1),energy_kwh,3,380.0,16.822603841260722,41.7930374863246,367.0,399.0,374.0,4.427001010858085
1,5,S3 (shift 1),defect_rate,3,0.007833333333333333,5.773502691896323e-05,0.00014343333333333497,0.0078,0.0079,0.0078,0.7370428968378285
1,5,S3 (shift 1),deadline_gap_pct,3,51.73333333333333,3.0005555041247503,7.454394685090878,48.7,54.7,51.8,5.800042855911245
1,6,S4 (shift 1),throughput_uph,3,25.100000000000005,0.0,0.0,25.1,25.1,25.1,0.0
1,6,S4 (shift 1),vr_score,3,0.35799999999999993,0.0,0.0,0.358,0.358,0.358,0.0
1,6,S4 (shift 1),fatigue_index,3,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
1,6,S4 (shift 1),noise_db,3,76.1,0.0,0.0,76.1,76.1,76.1,0.0
1,6,S4 (shift 1),energy_kwh,3,409.0,0.0,0.0,409.0,409.0,409.0,0.0
1,6,S4 (shift 1),defect_rate,3,0.0073,0.0,0.0,0.0073,0.0073,0.0073,0.0
1,6,S4 (shift 1),deadline_gap_pct,3,51.79999999999999,0.0,0.0,51.8,51.8,51.8,0.0
2,1,S1 (shift 2),throughput_uph,3,40.7,0.0,0.0,40.7,40.7,40.7,0.0
2,1,S1 (shift 2),vr_score,3,0.48100000000000004,0.0,0.0,0.481,0.481,0.481,0.0
2,1,S1 (shift 2),fatigue_index,3,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
2,1,S1 (shift 2),noise_db,3,77.8,0.0,0.0,77.8,77.8,77.8,0.0
2,1,S1 (shift 2),energy_kwh,3,401.0,0.0,0.0,401.0,401.0,401.0,0.0
2,1,S1 (shift 2),defect_rate,3,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
2,1,S1 (shift 2),deadline_gap_pct,3,21.7,0.0,0.0,21.7,21.7,21.7,0.0
2,3,S2 (shift 2),throughput_uph,3,48.06666666666666,0.0577350269189634,0.14343333333333538,48.0,48.1,48.1,0.12011448041393219
2,3,S2 (shift 2),vr_score,3,0.48333333333333334,0.0005773502691896262,0.0014343333333333348,0.483,0.484,0.483,0.11945177983233646
2,3,S2 (shift 2),fatigue_index,3,0.5931333333333333,0.012066620626063132,0.029977566666666552,0.5792,0.6001,0.6001,2.034385853556783
2,3,S2 (shift 2),noise_db,3,84.10000000000001,1.3856406460551052,3.442400000000008,82.5,84.9,84.9,1.6476107563080915
2,3,S2 (shift 2),energy_kwh,3,463.0,1.7320508075688772,4.303,462.0,465.0,462.0,0.37409304699111817
2,3,S2 (shift 2),defect_rate,3,0.009866666666666668,0.0002309401076758509,0.0005737333333333349,0.0096,0.01,0.01,2.3406091994174076
2,3,S2 (shift 2),deadline_gap_pct,3,19.666666666666668,0.11547005383792475,0.28686666666666566,19.6,19.8,19.6,0.5871358669724986
2,5,S3 (shift 2),throughput_uph,3,29.366666666666664,7.490215840236737,18.60822940048599,24.6,38.0,25.5,25.50584281578912
2,5,S3 (shift 2),vr_score,3,0.38999999999999996,0.030413812651491092,0.07555819683087554,0.37,0.425,0.375,7.798413500382332
2,5,S3 (shift 2),fatigue_index,3,0.2987666666666667,0.05641988420170084,0.14016607403144232,0.265,0.3639,0.2674,18.884263372208245
2,5,S3 (shift 2),noise_db,3,78.46666666666667,1.305118130030127,3.2423548368088575,77.0,79.5,78.9,1.6632771410749283
2,5,S3 (shift 2),energy_kwh,3,372.0,35.59494346111537,88.42987806354441,349.0,413.0,354.0,9.568533188471875
2,5,S3 (shift 2),defect_rate,3,0.0078000000000000005,0.00010000000000000026,0.00024843382083229666,0.0077,0.0079,0.0078,1.2820512820512853
2,5,S3 (shift 2),deadline_gap_pct,3,50.93333333333334,12.522113772575832,31.1091656941773,36.5,58.9,57.4,24.58530190950752
2,6,S4 (shift 2),throughput_uph,3,25.100000000000005,0.0,0.0,25.1,25.1,25.1,0.0
2,6,S4 (shift 2),vr_score,3,0.35799999999999993,0.0,0.0,0.358,0.358,0.358,0.0
2,6,S4 (shift 2),fatigue_index,3,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
2,6,S4 (shift 2),noise_db,3,76.1,0.0,0.0,76.1,76.1,76.1,0.0
2,6,S4 (shift 2),energy_kwh,3,409.0,0.0,0.0,409.0,409.0,409.0,0.0
2,6,S4 (shift 2),defect_rate,3,0.0073,0.0,0.0,0.0073,0.0073,0.0073,0.0
2,6,S4 (shift 2),deadline_gap_pct,3,51.79999999999999,0.0,0.0,51.8,51.8,51.8,0.0
3,1,S1 (shift 3),throughput_uph,3,40.7,0.0,0.0,40.7,40.7,40.7,0.0
3,1,S1 (shift 3),vr_score,3,0.48100000000000004,0.0,0.0,0.481,0.481,0.481,0.0
3,1,S1 (shift 3),fatigue_index,3,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
3,1,S1 (shift 3),noise_db,3,77.8,0.0,0.0,77.8,77.8,77.8,0.0
3,1,S1 (shift 3),energy_kwh,3,401.0,0.0,0.0,401.0,401.0,401.0,0.0
3,1,S1 (shift 3),defect_rate,3,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
3,1,S1 (shift 3),deadline_gap_pct,3,21.7,0.0,0.0,21.7,21.7,21.7,0.0
3,3,S2 (shift 3),throughput_uph,3,48.20000000000001,0.0,0.0,48.2,48.2,48.2,0.0
