shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,S1 (shift 1),throughput_uph,10,40.7,0.0,0.0,40.7,40.7,40.7,0.0
1,1,S1 (shift 1),vr_score,10,0.481,0.0,0.0,0.481,0.481,0.481,0.0
1,1,S1 (shift 1),fatigue_index,10,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
1,1,S1 (shift 1),noise_db,10,77.8,0.0,0.0,77.8,77.8,77.8,0.0
1,1,S1 (shift 1),energy_kwh,10,401.0,0.0,0.0,401.0,401.0,401.0,0.0
1,1,S1 (shift 1),defect_rate,10,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
1,1,S1 (shift 1),deadline_gap_pct,10,21.7,0.0,0.0,21.7,21.7,21.7,0.0
1,3,S2 (shift 1),throughput_uph,10,48.2,0.0,0.0,48.2,48.2,48.2,0.0
1,3,S2 (shift 1),vr_score,10,0.475,0.0,0.0,0.475,0.475,0.475,0.0
1,3,S2 (shift 1),fatigue_index,10,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
1,3,S2 (shift 1),noise_db,10,84.9,0.0,0.0,84.9,84.9,84.9,0.0
1,3,S2 (shift 1),energy_kwh,10,462.0,0.0,0.0,462.0,462.0,462.0,0.0
1,3,S2 (shift 1),defect_rate,10,0.01,0.0,0.0,0.01,0.01,0.01,0.0
1,3,S2 (shift 1),deadline_gap_pct,10,22.8,0.0,0.0,22.8,22.8,22.8,0.0
1,5,S3 (shift 1),throughput_uph,10,32.019999999999996,5.482659533069289,3.9217858760518784,25.0,42.3,31.4,17.122609409960308
1,5,S3 (shift 1),vr_score,10,0.4063,0.0252720750588031,0.01807729741858555,0.372,0.452,0.4065,6.220052931036943
1,5,S3 (shift 1),fatigue_index,10,0.29981,0.05095316913053048,0.03644716908480547,0.2304,0.3971,0.2877,16.99515330727143
1,5,S3 (shift 1),noise_db,10,77.97999999999999,0.5808040403899887,0.41545331578891165,77.3,78.9,77.8,0.744811541920991
1,5,S3 (shift 1),energy_kwh,10,375.6,23.075720766400536,16.50622936469744,338.0,417.0,371.0,6.143695624707278
1,5,S3 (shift 1),defect_rate,10,0.00769,0.00028460498941515423,0.00020358000000000005,0.0074,0.0082,0.0076,3.700975154943488
1,5,S3 (shift 1),deadline_gap_pct,10,48.69,8.78615704136658,6.284801451151817,32.2,59.9,49.7,18.04509558711559
1,6,S4 (shift 1),throughput_uph,10,25.1,0.0,0.0,25.1,25.1,25.1,0.0
1,6,S4 (shift 1),vr_score,10,0.358,0.0,0.0,0.358,0.358,0.358,0.0
1,6,S4 (shift 1),fatigue_index,10,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
1,6,S4 (shift 1),noise_db,10,76.1,0.0,0.0,76.1,76.1,76.1,0.0
1,6,S4 (shift 1),energy_kwh,10,409.0,0.0,0.0,409.0,409.0,409.0,0.0
1,6,S4 (shift 1),defect_rate,10,0.007299999999999999,0.0,0.0,0.0073,0.0073,0.0073,0.0
1,6,S4 (shift 1),deadline_gap_pct,10,51.8,0.0,0.0,51.8,51.8,51.8,0.0
2,1,S1 (shift 2),throughput_uph,10,40.7,0.0,0.0,40.7,40.7,40.7,0.0
2,1,S1 (shift 2),vr_score,10,0.481,0.0,0.0,0.481,0.481,0.481,0.0
2,1,S1 (shift 2),fatigue_index,10,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
2,1,S1 (shift 2),noise_db,10,77.8,0.0,0.0,77.8,77.8,77.8,0.0
2,1,S1 (shift 2),energy_kwh,10,401.0,0.0,0.0,401.0,401.0,401.0,0.0
2,1,S1 (shift 2),defect_rate,10,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
2,1,S1 (shift 2),deadline_gap_pct,10,21.7,0.0,0.0,21.7,21.7,21.7,0.0
2,3,S2 (shift 2),throughput_uph,10,48.15,0.15811388300841897,0.11309999999999999,48.1,48.6,48.1,0.32837774248892826
2,3,S2 (shift 2),vr_score,10,0.4833,0.0009486832980505147,0.0006786000000000006,0.483,0.486,0.483,0.1962928404822087
2,3,S2 (shift 2),fatigue_index,10,0.60042,0.0010119288512538752,0.0007238399999999956,0.6001,0.6033,0.6001,0.16853683275938097
2,3,S2 (shift 2),noise_db,10,84.74000000000001,0.5059644256269434,0.36192000000000196,83.3,84.9,84.9,0.597078623586197
2,3,S2 (shift 2),energy_kwh,10,462.6,1.8973665961010275,1.3572,462.0,468.0,462.0,0.4101527445095174
2,3,S2 (shift 2),defect_rate,10,0.00998,6.324555320336775e-05,4.5240000000000116e-05,0.0098,0.01,0.01,0.6337229779896569
2,3,S2 (shift 2),deadline_gap_pct,10,19.51,0.28460498941515483,0.20358000000000048,18.7,19.6,19.6,1.4587646817793685
2,5,S3 (shift 2),throughput_uph,10,28.139999999999997,7.329120001746459,5.242572356238873,16.4,37.7,27.1,26.04520256484172
2,5,S3 (shift 2),vr_score,10,0.3811,0.034329935106906975,0.02455644998854679,0.318,0.424,0.375,9.008117320101542
2,5,S3 (shift 2),fatigue_index,10,0.30748,0.05245278935491525,0.03751985823866608,0.2437,0.3623,0.30945,17.058927200115537
