shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,S1 (shift 1),throughput_uph,10,42.1,0.0,0.0,42.1,42.1,42.1,0.0
1,1,S1 (shift 1),vr_score,10,0.49399999999999994,0.0,0.0,0.494,0.494,0.494,0.0
1,1,S1 (shift 1),fatigue_index,10,0.3603,0.0,0.0,0.3603,0.3603,0.3603,0.0
1,1,S1 (shift 1),noise_db,10,78.0,0.0,0.0,78.0,78.0,78.0,0.0
1,1,S1 (shift 1),energy_kwh,10,402.0,0.0,0.0,402.0,402.0,402.0,0.0
1,1,S1 (shift 1),defect_rate,10,0.008,0.0,0.0,0.008,0.008,0.008,0.0
1,1,S1 (shift 1),deadline_gap_pct,10,19.1,0.0,0.0,19.1,19.1,19.1,0.0
1,3,S2 (shift 1),throughput_uph,10,48.2,0.0,0.0,48.2,48.2,48.2,0.0
1,3,S2 (shift 1),vr_score,10,0.475,0.0,0.0,0.475,0.475,0.475,0.0
1,3,S2 (shift 1),fatigue_index,10,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
1,3,S2 (shift 1),noise_db,10,84.9,0.0,0.0,84.9,84.9,84.9,0.0
1,3,S2 (shift 1),energy_kwh,10,462.0,0.0,0.0,462.0,462.0,462.0,0.0
1,3,S2 (shift 1),defect_rate,10,0.01,0.0,0.0,0.01,0.01,0.01,0.0
1,3,S2 (shift 1),deadline_gap_pct,10,22.8,0.0,0.0,22.8,22.8,22.8,0.0
1,5,S3 (shift 1),throughput_uph,10,42.2,0.0,0.0,42.2,42.2,42.2,0.0
1,5,S3 (shift 1),vr_score,10,0.45899999999999996,0.0,0.0,0.459,0.459,0.459,0.0
1,5,S3 (shift 1),fatigue_index,10,0.3614,0.0,0.0,0.3614,0.3614,0.3614,0.0
1,5,S3 (shift 1),noise_db,10,78.1,0.0,0.0,78.1,78.1,78.1,0.0
1,5,S3 (shift 1),energy_kwh,10,403.0,0.0,0.0,403.0,403.0,403.0,0.0
1,5,S3 (shift 1),defect_rate,10,0.008,0.0,0.0,0.008,0.008,0.008,0.0
1,5,S3 (shift 1),deadline_gap_pct,10,32.3,0.0,0.0,32.3,32.3,32.3,0.0
1,6,S4 (shift 1),throughput_uph,10,25.1,0.0,0.0,25.1,25.1,25.1,0.0
1,6,S4 (shift 1),vr_score,10,0.358,0.0,0.0,0.358,0.358,0.358,0.0
1,6,S4 (shift 1),fatigue_index,10,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
1,6,S4 (shift 1),noise_db,10,76.1,0.0,0.0,76.1,76.1,76.1,0.0
1,6,S4 (shift 1),energy_kwh,10,409.0,0.0,0.0,409.0,409.0,409.0,0.0
1,6,S4 (shift 1),defect_rate,10,0.007299999999999999,0.0,0.0,0.0073,0.0073,0.0073,0.0
1,6,S4 (shift 1),deadline_gap_pct,10,51.8,0.0,0.0,51.8,51.8,51.8,0.0
2,1,S1 (shift 2),throughput_uph,10,42.1,0.0,0.0,42.1,42.1,42.1,0.0
2,1,S1 (shift 2),vr_score,10,0.49399999999999994,0.0,0.0,0.494,0.494,0.494,0.0
2,1,S1 (shift 2),fatigue_index,10,0.3603,0.0,0.0,0.3603,0.3603,0.3603,0.0
2,1,S1 (shift 2),noise_db,10,78.0,0.0,0.0,78.0,78.0,78.0,0.0
2,1,S1 (shift 2),energy_kwh,10,402.0,0.0,0.0,402.0,402.0,402.0,0.0
2,1,S1 (shift 2),defect_rate,10,0.008,0.0,0.0,0.008,0.008,0.008,0.0
