shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
1,1,S1 (shift 1),throughput_uph,1,40.7,0.0,0.0,40.7,40.7,40.7,0.0
1,1,S1 (shift 1),vr_score,1,0.481,0.0,0.0,0.481,0.481,0.481,0.0
1,1,S1 (shift 1),fatigue_index,1,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
1,1,S1 (shift 1),noise_db,1,77.8,0.0,0.0,77.8,77.8,77.8,0.0
1,1,S1 (shift 1),energy_kwh,1,401.0,0.0,0.0,401.0,401.0,401.0,0.0
1,1,S1 (shift 1),defect_rate,1,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
1,1,S1 (shift 1),deadline_gap_pct,1,21.7,0.0,0.0,21.7,21.7,21.7,0.0
1,3,S2 (shift 1),throughput_uph,1,48.2,0.0,0.0,48.2,48.2,48.2,0.0
1,3,S2 (shift 1),vr_score,1,0.475,0.0,0.0,0.475,0.475,0.475,0.0
1,3,S2 (shift 1),fatigue_index,1,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
1,3,S2 (shift 1),noise_db,1,84.9,0.0,0.0,84.9,84.9,84.9,0.0
1,3,S2 (shift 1),energy_kwh,1,462.0,0.0,0.0,462.0,462.0,462.0,0.0
1,3,S2 (shift 1),defect_rate,1,0.01,0.0,0.0,0.01,0.01,0.01,0.0
1,3,S2 (shift 1),deadline_gap_pct,1,22.8,0.0,0.0,22.8,22.8,22.8,0.0
1,5,S3 (shift 1),throughput_uph,1,42.3,0.0,0.0,42.3,42.3,42.3,0.0
1,5,S3 (shift 1),vr_score,1,0.452,0.0,0.0,0.452,0.452,0.452,0.0
1,5,S3 (shift 1),fatigue_index,1,0.3971,0.0,0.0,0.3971,0.3971,0.3971,0.0
1,5,S3 (shift 1),noise_db,1,78.7,0.0,0.0,78.7,78.7,78.7,0.0
1,5,S3 (shift 1),energy_kwh,1,417.0,0.0,0.0,417.0,417.0,417.0,0.0
1,5,S3 (shift 1),defect_rate,1,0.0082,0.0,0.0,0.0082,0.0082,0.0082,0.0
1,5,S3 (shift 1),deadline_gap_pct,1,32.2,0.0,0.0,32.2,32.2,32.2,0.0
1,6,S4 (shift 1),throughput_uph,1,25.1,0.0,0.0,25.1,25.1,25.1,0.0
1,6,S4 (shift 1),vr_score,1,0.358,0.0,0.0,0.358,0.358,0.358,0.0
1,6,S4 (shift 1),fatigue_index,1,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
1,6,S4 (shift 1),noise_db,1,76.1,0.0,0.0,76.1,76.1,76.1,0.0
